Suburb,Rooms,Price,Date,Distance,Bedroom2,Bathroom,Car,Landsize,Lattitude,Longtitude,year,month,Type_h,Type_t,Type_u,Region_EM,Region_NM,Region_SEM,Region_SM,Region_WM
Abbotsford,2,1480000.0,2016-12-03,2.5,2,1,1,202.0,-37.7996,144.9984,2016,12,1,0,0,0,1,0,0,0
Abbotsford,2,1035000.0,2016-02-04,2.5,2,1,0,156.0,-37.8079,144.9934,2016,2,1,0,0,0,1,0,0,0
Abbotsford,3,1465000.0,2017-03-04,2.5,3,2,0,134.0,-37.8093,144.9944,2017,3,1,0,0,0,1,0,0,0
Abbotsford,3,850000.0,2017-03-04,2.5,3,2,1,94.0,-37.7969,144.9969,2017,3,1,0,0,0,1,0,0,0
Abbotsford,4,1600000.0,2016-06-04,2.5,3,1,2,120.0,-37.8072,144.9941,2016,6,1,0,0,0,1,0,0,0
Abbotsford,2,941000.0,2016-05-07,2.5,2,1,0,181.0,-37.8041,144.9953,2016,5,1,0,0,0,1,0,0,0
Abbotsford,3,1876000.0,2016-05-07,2.5,4,2,0,245.0,-37.8024,144.9993,2016,5,1,0,0,0,1,0,0,0
Abbotsford,2,1636000.0,2016-10-08,2.5,2,1,2,256.0,-37.806,144.9954,2016,10,1,0,0,0,1,0,0,0
Abbotsford,2,1097000.0,2016-10-08,2.5,3,1,2,220.0,-37.801,144.9989,2016,10,1,0,0,0,1,0,0,0
Abbotsford,3,1350000.0,2016-11-12,2.5,3,2,2,214.0,-37.8085,144.9964,2016,11,1,0,0,0,1,0,0,0
Abbotsford,2,1172500.0,2016-08-13,2.5,2,1,1,195.0,-37.8084,144.9973,2016,8,1,0,0,0,1,0,0,0
Abbotsford,2,1310000.0,2016-10-15,2.5,2,1,2,238.0,-37.809,144.9976,2016,10,1,0,0,0,1,0,0,0
Abbotsford,3,1200000.0,2016-07-16,2.5,3,2,1,113.0,-37.8056,144.993,2016,7,1,0,0,0,1,0,0,0
Abbotsford,3,1176500.0,2016-07-16,2.5,2,1,1,138.0,-37.8021,144.9965,2016,7,1,0,0,0,1,0,0,0
